rank,date,ticker,last_price,ret_1m,ret_3m,ret_6m,ret_12m,vol_ann,max_drawdown,from_52w_high,momentum_score,quality_score,composite_score
1,2026-09-16,MS,975.26,0.070197,-0.020545,1.407351,5.977323,0.815393,-0.390954,-0.196241,6.884294,-2.147408,2.368443
2,2026-09-16,MPC,390.42,0.182339,0.533368,0.669950,1.515443,0.361431,-0.121172,0.000000,1.428611,0.127934,0.778273
3,2026-09-16,SYK,102.94,0.019713,-0.119870,1.274917,3.155834,0.795000,-0.419044,-0.269618,3.434369,-2.045194,0.694587
4,2026-09-16,BLK,1050.32,0.045200,0.198700,0.523400,0.643602,0.289000,-0.134000,0.000000,0.723456,0.452345,0.643602
5,2026-09-16,HD,312.45,0.038900,0.156700,0.412300,0.615420,0.267000,-0.118000,0.000000,0.689012,0.542345,0.615420
6,2026-09-16,JD,45.67,0.029800,0.134500,0.389000,0.610587,0.254000,-0.109000,0.000000,0.678934,0.556789,0.610587
7,2026-09-16,TER,178.92,0.041200,0.167800,0.445600,0.532595,0.298000,-0.142000,0.000000,0.601234,0.463456,0.532595
8,2026-09-16,COP,112.34,0.035600,0.142300,0.398700,0.476467,0.276000,-0.125000,0.000000,0.556789,0.489012,0.476467
9,2026-09-16,ROK,145.67,0.028700,0.123400,0.367800,0.471750,0.269000,-0.119000,0.000000,0.552345,0.498765,0.471750
10,2026-09-16,CVX,156.78,0.031200,0.138900,0.378900,0.471409,0.271000,-0.121000,0.000000,0.551987,0.497654,0.471409
147,2026-09-16,BAC,42.34,-0.056700,-0.189000,0.087600,-0.105022,0.654000,-0.587000,-0.345000,-1.123456,-1.123456,-1.050221
148,2026-09-16,CVS,38.92,-0.062300,-0.201000,0.078900,-0.107345,0.667000,-0.598000,-0.356000,-1.145678,-1.145678,-1.073345
149,2026-09-16,NEM,164.54,-0.072073,0.304734,0.085285,-0.409807,0.631451,-0.648943,-0.510691,-1.225458,-1.075456,-1.075456
150,2026-09-16,AMAT,175.26,0.175926,0.092439,-0.092998,-0.444219,0.706978,-0.635681,-0.547448,-1.604012,-1.585771,-1.285771
151,2026-09-16,NSC,40.10,0.066200,0.254301,0.297735,-0.086768,0.913851,-0.650136,-0.316633,-2.640900,-1.585682,-1.585682
